"Fourniture";"NoArticle";"Catégorie";"Quantité";"QtéType";"No série"
"Barrage absorbant Naturesorb SC41N (L=3,05 m / diam = 10 cm)";"13120014";"ABC";"OUI";"pièce";"Non"
"Barrage absorbant Naturesorb SC44 (L=1m / diam=10cm)";"13120017";"ABC";"OUI";"pièce";"Non"
"Barrage Drizit 1,5m";"";"ABC";"OUI";"pièce";"Non"
"Barrage Natursorb 1m (Ø 10cm)";"";"ABC";"OUI";"pièce";"Non"
"Barrage Natursorb 3m (Ø 10cm)";"";"ABC";"OUI";"pièce";"Non"
"Barrage R+R 10m";"";"ABC";"OUI";"pièce";"Non"
"Barrage R+R 5m";"";"ABC";"OUI";"pièce";"Non"
"Coussin absorbant Naturesorb PW18 (46 x 46 x 9 cm)";"13120016";"ABC";"OUI";"pièce";"Non"
"Coussin Natursorb (46x46x9)";"";"ABC";"OUI";"pièce";"Non"
"Ekoperl 66";"";"ABC";"OUI";"sac";"Non"
"Ekoperl 99";"13070001";"ABC";"OUI";"sac";"Non"
"Extincteur CO2";"";"FEU";"OUI";"pièce";"Oui"
"Extincteur FRITEX";"";"FEU";"OUI";"pièce";"Oui"
"Extincteur LW";"";"FEU";"OUI";"pièce";"Oui"
"Extincteur POUDRE";"";"FEU";"OUI";"pièce";"Oui"
"Filtre combiné double X-Plore 5500 A2B2E2K2 Hg P3 RD";"6738819 (13130007)";"ABC";"OUI";"pièce";"Non"
"Filtre combiné gaz-vapeurs toxiques-particules ABEK P3 - A2B2E2K2 Hg P3 D";"6738797 (13130003)";"ABC";"OUI";"pièce";"Non"
"Flacon de dosage Bioversal FW 2% (ROUTE) PVC brun - 100 ml / 5 litres";"13120027";"ABC";"OUI";"flacon";"Non"
"Flacon de dosage Bioversal FW 2% (ROUTE) PVC brun - 300 ml / 15 litres";"13120028";"ABC";"OUI";"flacon";"Non"
"Flacon de dosage Bioversal HC 1% (EAU) PVC brun - 150 ml / 15 litres";"13120026";"ABC";"OUI";"flacon";"Non"
"Flacon de dosage Bioversal HC 1% (EAU) PVC brun - 50 ml / 5 litres";"13120025";"ABC";"OUI";"flacon";"Non"
"Gants Mirabelle (chimiques) à usage unique pour tenues moyennes";"13010030";"ABC";"OUI";"pièce";"Non"
"Masque parat 5500";"";"PR";"OUI";"pièce";"Non"
"Mouillant (BIO FOR C)";"";"FEU";"OUI";"litre";"Non"
"Mousse (BIO FILMOPOL 9)";"";"FEU";"OUI";"litre";"Non"
"Natte / rouleau absorbant pour hydrocarbure (40cm x 40m) - 300g/m2";"13120019";"ABC";"OUI";"pièce";"Non"
"Natte absorbante chimique Schoeller Industries Standard CR 202, rouleau de 40m (par mètre)";"13120038";"ABC";"OUI";"m";"Non"
"Nattes absorbante pour hydrocarbure en sachet de 5 pièces pour kit DCH";"13120039";"ABC";"OUI";"pièce";"Non"
"Nattes absorbantes chimiques Schoeller Industries Standard CP 101, sachet de 5 pièces";"13120037";"ABC";"OUI";"pièce";"Non"
"Naturesorb NS38, produit absorbant (sac de 21,8 kg)";"13070020";"ABC";"OUI";"sac";"Non"
"Natursorb (sac de 11,8kg)";"";"ABC";"OUI";"sac";"Non"
"Neutralisant chimique des solutions aqueuses et non aqueuses acide/base TRIVOREX (par flacon)";"13060003";"ABC";"OUI";"flacon";"Non"
"Plaquette CMS";"";"ABC";"OUI";"pièce";"Non"
"RESPIREX -Combinaison à usage unique, étanche aux gaz Tychem TK - EN 943-1:1997 - Etanche aux gaz de type 1 A";"13010043";"ABC";"OUI";"pièce";"Non"
"Set multitubes (Set I ou II)";"";"ABC";"OUI";"pièce";"Non"
"Set multitubes 1 Dräger, kit de 5 tubes réactifs à usage unique pour gaz d'incendie inorganiques";"8103170 (13090010)";"ABC";"OUI";"set";"Non"
"Set multitubes 2 Dräger, kit de 5 tubes réactifs à usage unique pour gaz d'incendie inorganiques";"8101736 (13090011)";"ABC";"OUI";"set";"Non"
"Set multitubes 3 Dräger, kit de 5 tubes réactifs à usage unique pour gaz d'incendie inorganiques";"8101770 (13090012)";"ABC";"OUI";"set";"Non"
"SNOW absorbant universel en sac de 2.5 kg";"13070023";"ABC";"OUI";"sac";"Non"
"Sorbix Universal";"13070015";"ABC";"OUI";"sac";"Non"
"Surbottes de protection 3TOX-Paul Boyé SURBOEXP, taille unique, adaptable sur tous types de chaussures, semelle anti-dérapante, protection contre les risques chimiques et radiologiques";"13010006";"ABC";"OUI";"paire";"Non"
"Tenue chimique lourde";"";"ABC";"OUI";"pièce";"Non"
"Tenue chimique moyenne";"";"ABC";"OUI";"pièce";"Non"
"Tenue légère de décontamination et de protection Paul Boyé TLD-ARI3, 2 pièces veste et pantalon, coloris blanc";"13010005";"ABC";"OUI";"pièce";"Non"
"Tenue lourde chimique TRELLCHEM EVO-VP1-ET réutilisable";"13010046";"ABC";"OUI";"pièce";"Non"
"Tenue lourde TRELLCHEM EVO-VP1 réutilisable";"13010041";"ABC";"OUI";"pièce";"Non"
