indicatif;type;plaque;marqueType;priseDeForce
Ydon 0;VPC;VD 9571;MAN TGL 12.250;Non
Ydon 101;VCI;VD 56242;Volvo XC90;Oui
Ydon 102;VCI;VD 11802;Volvo XC60;Non
Ydon 103;VCI;VD 1189;Renault Twizy;Non
Ydon 104;VCI;VD 40118;Volvo V70;Non
Ydon 113;VEA;VD 9759;Man TGM 18.340;Oui
Ydon 122;TP2;VD 8229;Mercedes Atego 1530A;Oui
Ydon 129;TP9;VD 10487;Scania P500;Oui
Ydon 131;PIO;VD 7096;Mercedes 616 CDI;Oui
Ydon 132;PIO;VD 8512;Iveco 95.17 AW;Oui
Ydon 151;VTT;VD 51118;Toyota Land Cruiser;Non
Ydon 152;VTT;VD 9160;Nissan Navara;Non
Ydon 161;VM;VD 7350;Iveco 70C18W Daily;Non
Ydon 162;VM;VD 10395;Iveco 70C18W Daily;Non
Ydon 171;MAT;VD 9607;Iveco - Magirus 160 M;Non
Ydon 172;MAT;VD 10172;Volvo FL-280 4x4R;Oui
Ydon 181;TPM;VD 10016;Mercedes 515 CDI 4x4;Non
Ydon 182;TPM;VD ??;Ford Tourneo;Non
Ydon 191;BAT;VD 320;Boston - Whaler;Non
Ydon 201;VCI;VD 22118;Skoda Octavia;Non
Ydon 222;TP2;VD 9412;Mercedes Atego 1530A;Oui
Ydon 251;VTT;VD 7191;Nissan Navara;Non
Ydon 261;VM;VD 8781;Iveco 70C18 All-Road;Non
Ydon 281;TPM;VD 10008;Mercedes 515 CDI 4x4;Non
Ydon 301;VCI;VD 118002;Skoda Octavia;Non
Ydon 322;TP2;VD 9453;Mercedes Atego 1329A;Oui
Ydon 351;VTT;VD 10490;Nissan Navara;Non
Ydon 381;TPM;VD 10143;Mercedes 516 CDI 4x4;Non
Ydon 382;TPM;VD 239486;Toyota Hiace 4WD;Non
Ydon 383;TPM;VD 9323;Mowag B 350 A8;Non
Ydon 421;TP1;VD 9378;MercedesVario 818 DA;Oui
Ydon 481;TPM;VD 10144;Mercedes 516;Non
Ydon 561;VTU;VD 9478;VW T6 Transporter 4M;Non
Ydon 562;VTU;VD 7766;VW T6 Transporter;Non
Ydon 563;VTU;VD 9648;VW T6 Transporter;Non
Ydon 564;VTU;VD 7249;VW T6 Transporter;Non
